,sql-server,sql,database,ado.net,mysql,sql-server-2008,entity-framework-4,entity-framework,nhibernate,oracle,xml,xml-serialization,excel,winforms,datagridview,gridview,image,datetime,azure,powershell,c#,c#-4.0,design-patterns,oop,architecture,dependency-injection,generics,dll,com,assemblies,msbuild,deployment,interop,php,exception,exception-handling,wpf,xaml,data-binding,events,mvvm,user-interface,user-controls,java,vb.net,c++,clr,c++-cli,garbage-collection,linq,linq-to-sql,lambda,security,encryption,mono,.net-2.0,.net-4.0,.net-3.5,visual-studio,visual-studio-2010,visual-studio-2008,visual-studio-2012,regex,string,multithreading,asynchronous,task-parallel-library,async-await,silverlight,windows-phone-7,collections,arrays,list,json,javascript,html,jquery,ajax,windows,windows-services,winapi,sockets,compact-framework,wcf,unit-testing,reflection,debugging,performance,f#,iis,asp.net-mvc,asp.net-mvc-3,asp.net-mvc-4,asp.net-web-api,asp.net,soap,rest,serialization,web-services,configuration
sql-server,0.0,0.83575815,0.97266275,0.99033827,0.9926117,0.891792,0.9980348,0.98491734,0.9966827,0.9927876,0.9917681,0.9998746,0.99547523,0.9968931,0.9984221,0.99855316,0.9990595,0.9913191,0.9961872,0.9977023,0.9832029,0.9976244,0.9995925,0.9998171,0.99915093,0.9999925,0.9999515,0.99971,0.9999016,0.9998252,0.9997938,0.99876285,0.99993736,0.99658364,0.99920636,0.9994809,0.9987638,0.9998897,0.99955416,0.99990416,0.9999202,0.99983734,0.9999848,0.9983847,0.9904447,0.99957347,0.9986289,0.99994534,0.99996156,0.9930403,0.99341726,0.99976623,0.99738955,0.9983303,0.9999004,0.9998494,0.9995218,0.99953574,0.9950921,0.99571204,0.99820495,0.99697834,0.99905354,0.99821025,0.99927324,0.99966246,0.9999213,0.9999291,0.99946964,0.99984014,0.9999557,0.99963707,0.99971175,0.9992841,0.9997132,0.9995579,0.9997748,0.9995526,0.9984023,0.9994051,0.99993885,0.9998906,0.9998736,0.9980368,0.9993329,0.99992716,0.99934673,0.98956394,0.9998552,0.9974803,0.99496037,0.9983912,0.9982594,0.99957114,0.98245436,0.9998205,0.99985117,0.9997424,0.99808836,0.99948204
sql,0.83575815,0.0,0.9405779,0.99656004,0.8732445,0.93618786,0.99933183,0.99262446,0.9976138,0.9245068,0.99433386,0.99994427,0.99517375,0.9977474,0.9983675,0.99823546,0.9991771,0.9926153,0.9981547,0.9990967,0.98183864,0.9988091,0.9994855,0.999545,0.9996614,0.9999854,0.99987406,0.9998855,0.9999708,0.9999701,0.9999449,0.99965394,0.99996287,0.97085273,0.9991897,0.99969757,0.9991105,0.99993235,0.9996622,0.99979824,0.9999499,0.9997595,0.999978,0.99182487,0.9903845,0.9991201,0.99968636,0.99997777,0.99997056,0.9887853,0.9959807,0.9994599,0.9983546,0.9993419,0.99994856,0.9999365,0.99986464,0.99980426,0.99805534,0.9976632,0.9992579,0.9987842,0.99703085,0.99716705,0.9993541,0.99980414,0.9999702,0.99997765,0.9997572,0.99989134,0.99971825,0.9969775,0.99932665,0.9981857,0.9987185,0.99716234,0.99894506,0.9986192,0.9992733,0.9998819,0.9999619,0.9999461,0.9998806,0.99930316,0.9996181,0.99989957,0.9995437,0.9898054,0.9999083,0.99951166,0.9978456,0.9993899,0.99905765,0.9999133,0.9864563,0.9998967,0.9997635,0.99976176,0.9991571,0.99983984
database,0.97266275,0.9405779,0.0,0.99702054,0.93583494,0.99006945,0.9993065,0.99317694,0.9975219,0.9732197,0.9965859,0.9999571,0.9973098,0.99793136,0.9981306,0.99896944,0.99615854,0.99788254,0.99842304,0.9997415,0.99276155,0.9991808,0.99763393,0.9977802,0.9963856,0.9999289,0.999818,0.99974906,0.99997956,0.9999781,0.9999379,0.99822545,0.9999679,0.9826445,0.99868804,0.9997465,0.99869746,0.9999165,0.9990823,0.99961483,0.99967146,0.9988678,0.9999073,0.99235666,0.99437255,0.99874437,0.9999674,0.9999039,0.9999268,0.9970723,0.99758977,0.99989825,0.9953581,0.99778515,0.9998024,0.9999564,0.99989736,0.99983144,0.9975837,0.9972874,0.99912935,0.9988892,0.99935097,0.9983432,0.99850106,0.9994089,1.0,0.9999892,0.9994249,0.99904954,0.9994951,0.9974716,0.9987014,0.99727714,0.9985764,0.9974231,0.9990794,0.9977501,0.99871236,0.99984235,0.99991137,0.9995705,0.9998699,0.9991146,0.9982993,0.99986404,0.9995852,0.98930323,0.99982446,0.9996233,0.9975505,0.99873585,0.99894464,0.99989104,0.99440795,0.99979985,0.99890894,0.999003,0.99754745,0.9986842
ado.net,0.99033827,0.99656004,0.99702054,0.0,0.99949837,0.99483556,0.9928638,0.9868511,0.9976463,0.9965317,0.99950147,0.99971974,0.9987192,0.9973365,0.9953904,0.9979366,0.99992317,0.9992013,0.9993468,0.9998314,0.9951241,0.99666643,0.9991353,0.9997788,0.99907804,0.99981123,0.99941504,0.99985766,0.9996712,0.9998884,1.0,0.999895,0.9998149,0.9999986,0.9992877,0.9975056,0.9993329,0.99994624,0.9972366,0.99993134,0.9996659,0.99994564,0.99986225,0.99999386,0.9942915,0.9999527,1.0,0.99964017,0.9996166,0.9954777,0.9952698,0.9998729,0.99987054,0.99995625,0.99919206,0.997402,0.99838567,0.99781466,0.9985638,0.99820155,0.99868286,0.999093,0.999983,0.999876,0.99954844,0.9990609,0.9990174,0.999499,0.99929357,0.9999258,0.99983776,0.99996185,0.99969685,0.9999912,0.9999839,0.99997985,0.9999882,0.9999584,0.99989164,0.9996822,1.0,0.9999741,0.9994835,0.9987121,0.99968064,0.9992649,0.9998795,0.9988694,0.99902076,0.9996959,0.9988003,0.9989757,0.9993135,0.9998368,0.99597675,0.99991053,0.99989367,0.999606,0.9995423,0.99987775
mysql,0.9926117,0.8732445,0.93583494,0.99949837,0.0,0.99891955,0.9997448,0.9979213,0.9992343,0.9966828,0.9969728,0.99999356,0.9976922,0.9991804,0.9992646,0.99975896,0.99786925,0.9929859,0.9996619,0.999772,0.9948124,0.999648,0.9996983,0.99848396,0.999531,0.9999778,0.9999847,0.9998315,0.99999046,0.9999935,0.9999968,0.9996828,0.9999871,0.85916865,0.9993554,0.9997844,0.9996883,0.9999554,0.9998497,0.9994671,0.99999064,0.9996668,0.99997133,0.9888262,0.99618864,0.9985007,0.9999935,0.99997103,0.9999712,0.9992647,0.9998463,0.9999524,0.9968933,0.9986764,0.99974436,0.9999741,0.9999427,0.9999551,0.99945587,0.99908376,0.99986,0.99957025,0.9966506,0.99753666,0.99908113,0.99974203,1.0,0.9999968,0.999925,0.9999663,0.99991506,0.99074113,0.9993167,0.9927836,0.9943974,0.9888145,0.9934328,0.99063873,0.9982269,0.99992627,0.9999636,0.99941087,0.9999903,0.9998414,0.9997448,0.9999687,0.9995669,0.9891404,0.99996495,0.99966526,0.99927485,0.999666,0.99965894,0.9999685,0.9969718,0.99982285,0.99945676,0.999348,0.9987746,0.9994772
sql-server-2008,0.891792,0.93618786,0.99006945,0.99483556,0.99891955,0.0,0.9967476,0.99516416,0.9980424,0.998654,0.99590445,0.99981856,0.9982911,0.9984246,0.9992157,0.9989586,0.99962413,0.9947411,0.9993265,0.9986817,0.99562,0.99472386,0.9998131,0.99995685,0.99971807,1.0,0.9999671,0.999798,0.99993825,0.9998583,0.9998525,0.999122,1.0,0.9995188,0.999577,0.9997169,0.9995518,0.9999575,0.99979377,0.999936,0.9999448,0.999943,0.99997914,0.9995929,0.9956968,0.99990577,0.99925226,0.9999775,0.9999354,0.9974263,0.9958669,0.9998982,0.9985122,0.9981657,0.9999787,0.9998124,0.9990256,0.999541,0.9985255,0.99403346,0.996688,0.99882954,0.9996561,0.9992279,0.99974644,0.9998924,0.9999541,0.99997693,0.9998219,0.999884,0.9999229,0.9999149,0.9998618,0.9998164,0.99995834,0.99988145,0.99992824,0.9999088,0.99935555,0.99958664,1.0,0.9999583,0.9999304,0.9990463,0.9997745,0.9999257,0.9993087,0.99540496,0.9999371,0.99877584,0.99871063,0.997415,0.99877816,0.9997682,0.99378055,0.9999103,0.9999296,0.99983996,0.9991626,0.99957776
entity-framework-4,0.9980348,0.99933183,0.9993065,0.9928638,0.9997448,0.9967476,0.0,0.9485225,0.9988234,0.9992495,0.9999572,0.9996398,0.9999708,0.99880445,0.9990021,0.999392,1.0,0.99950755,0.99939466,0.99996674,0.9967951,0.9877254,0.9988001,0.9998086,0.99807876,0.9993247,0.9991711,0.99981374,0.999936,0.99978644,0.99993086,0.99958855,0.99991083,1.0,0.99957883,0.9998179,0.99901235,0.99989367,0.9991644,0.9999322,0.9987813,1.0,1.0,1.0,0.99878454,0.9999972,1.0,1.0,0.9999257,0.9871814,0.9958781,0.99676836,0.9998463,1.0,0.9998574,1.0,0.9930871,0.9994522,0.999567,0.9972042,0.9998218,0.99921834,0.9999831,0.99998766,0.999864,0.9999122,0.99952763,0.99990374,0.9985153,0.9998538,0.99973536,0.9999848,0.9998068,0.99987733,0.9999901,0.999995,0.99997646,0.9999917,0.9999521,0.999538,1.0,1.0,0.9999009,0.99658036,0.9991042,0.9989424,0.99994045,0.999223,1.0,0.9997379,0.99582154,0.9861639,0.994962,0.9988279,0.99785465,0.99991214,0.9998685,0.9994407,0.9997434,0.9997614
entity-framework,0.98491734,0.99262446,0.99317694,0.9868511,0.9979213,0.99516416,0.9485225,0.0,0.9966513,0.99610347,0.99945027,0.9995713,0.9998024,0.99641234,0.9978328,0.99851173,0.9998839,0.9982271,0.99589574,0.99979395,0.9721953,0.99079734,0.9970587,0.99938196,0.99654394,0.9972988,0.9961937,0.9996294,0.99990654,0.9998942,0.9996753,0.9992147,0.9999593,0.99990255,0.99876356,0.998711,0.9938776,0.99932414,0.996728,0.9998368,0.99535465,0.9999867,0.9996591,0.99990296,0.9944792,0.9999673,0.9998324,0.9999595,0.99976623,0.9321087,0.9879173,0.9921859,0.9994408,0.99973834,0.9993641,0.9999579,0.99615,0.9972697,0.9963764,0.9954229,0.998523,0.9948489,0.99983346,0.99981505,0.9990207,0.99876255,0.9994841,0.9986935,0.9954565,0.9996781,0.99899536,0.9999233,0.9993487,0.99873537,0.99988765,0.99995863,0.9998259,0.99974114,0.9999506,0.99941015,1.0,0.999987,0.9999166,0.9900568,0.9958318,0.9973705,0.99965024,0.9964194,0.9992772,0.9989155,0.9565166,0.9787291,0.97756517,0.9913885,0.98704666,0.99990106,0.99935424,0.9980667,0.9990733,0.9995608
nhibernate,0.9966827,0.9976138,0.9975219,0.9976463,0.9992343,0.9980424,0.9988234,0.9966513,0.0,0.9965109,0.9996113,0.9993139,1.0,0.99910825,0.9995247,0.99964684,0.99998665,0.998918,0.99938434,1.0,0.99273354,0.99691784,0.9980346,0.99928033,0.99749345,0.99804366,0.99875784,0.9997726,0.9999599,0.99930346,0.99978966,0.99968696,1.0,0.99999726,0.998278,0.99937916,0.9992934,0.9999574,0.99898785,0.9993816,0.9991515,0.99989253,1.0,0.99994314,0.99915785,1.0,0.9999478,1.0,0.9999561,0.98807603,0.9973415,0.9983471,0.99966896,0.9998465,0.9986699,0.9997891,0.9985754,0.9991393,0.99955016,0.9993434,0.999559,0.9997789,0.9999608,0.9998562,0.99948055,0.99978185,0.9998492,0.9999492,0.9994506,0.9999727,0.9961206,0.9999432,0.99946314,0.99987847,0.9999963,1.0,0.9999785,0.99987674,0.9999353,0.99941677,1.0,0.9999586,0.9998969,0.9970687,0.99713767,0.9991364,0.99969697,0.9982577,0.9998751,0.99941677,0.994964,0.9961252,0.998359,0.99882424,0.9978657,0.99993765,0.9997887,0.9989549,0.9995163,0.99777085
oracle,0.9927876,0.9245068,0.9732197,0.9965317,0.9966828,0.998654,0.9992495,0.99610347,0.9965109,0.0,0.99655,0.9999293,0.9984261,0.9995692,0.9996537,0.9996151,0.99966645,0.9967246,0.99990267,0.999563,0.9971947,0.9993172,0.9998739,0.9998172,0.99951726,1.0,0.99987715,0.99940234,0.99993455,0.9999635,0.99994993,0.9994145,0.99998236,0.99851847,0.9980365,0.99914396,0.9998277,0.99998796,0.99989367,0.9998533,0.9999701,0.9997339,0.9999669,0.9948181,0.9977198,0.99946654,0.9999277,0.9999825,0.9999321,0.99917084,0.9998006,0.9999676,0.9987325,0.99914116,0.9998656,0.99990934,0.9996544,0.99977684,0.9989777,0.9988663,0.9996908,0.9991011,0.99686354,0.9983777,0.9992936,0.9998242,0.99996436,0.9999821,0.9998498,1.0,0.9989739,0.9993839,0.99981534,0.99972427,0.9998324,0.99980795,0.99989367,0.99972886,0.99895984,0.9998119,0.9999606,0.99984604,0.999982,0.99939954,0.99949664,0.9999095,0.99938005,0.9923046,0.9999834,0.9991961,0.99942905,0.9997358,0.9996299,0.9999378,0.9977228,0.9995016,0.9996527,0.9998982,0.99846905,0.9994214
xml,0.9917681,0.99433386,0.9965859,0.99950147,0.9969728,0.99590445,0.9999572,0.99945027,0.9996113,0.99655,0.0,0.98711145,0.99561673,0.9977955,0.99892694,0.99891204,0.9981788,0.9989595,0.9997436,0.99652743,0.98089147,0.99718624,0.99947697,0.99952453,0.9996637,0.99980605,0.9995231,0.9997576,0.9998558,0.9999373,0.999503,0.99977815,0.99986786,0.9859627,0.99876755,0.99973893,0.99711734,0.9985971,0.9985385,0.99974203,0.9998221,0.99769366,0.99993175,0.9806239,0.99248195,0.99766505,0.9999822,0.9997979,0.99994814,0.9849221,0.9995819,0.9997804,0.9990226,0.99892366,0.99970764,0.9993386,0.9994469,0.99925214,0.99808,0.99793655,0.9993021,0.9992408,0.9953813,0.99601406,0.99960166,0.9997841,0.9999734,0.99995565,0.998476,0.99758005,0.9995707,0.99655426,0.99831814,0.99011165,0.99473286,0.99277234,0.9956807,0.99423116,0.999111,0.99984384,0.9999248,0.9992702,0.9998042,0.99601406,0.99934375,0.99950427,0.9994699,0.99807435,0.99962384,0.9995347,0.9986323,0.9995528,0.99942356,0.99900794,0.9936659,0.9850917,0.9951449,0.987402,0.9875302,0.9978199
xml-serialization,0.9998746,0.99994427,0.9999571,0.99971974,0.99999356,0.99981856,0.9996398,0.9995713,0.9993139,0.9999293,0.98711145,0.0,0.9999846,0.9996347,0.99993175,0.99995303,0.99996775,0.9993716,0.9999566,0.99996245,0.9969552,0.9974923,0.99959916,0.9997286,0.99969876,0.99992245,0.9984379,0.9998893,0.9998362,0.99916065,0.99981916,1.0,1.0,0.9999555,0.9995615,0.9996174,0.99965674,0.99973685,0.999587,0.99980855,0.9999443,1.0,0.99991316,0.9995821,0.99883026,0.9999017,0.99984455,0.9993836,1.0,0.99956053,0.9994484,0.9999215,0.9998877,0.9996978,0.99905777,0.99711585,0.9978081,0.9979701,0.99971175,0.99977195,0.9996323,0.9998722,0.9999652,0.9999356,0.9999572,1.0,0.99986076,1.0,0.9992574,0.99853677,0.99909544,0.9998517,0.9994209,0.9996657,0.9999627,0.99998474,0.99998647,0.9999915,0.99995005,0.9995826,1.0,0.99985933,0.9991014,0.9965213,0.9999711,0.99896544,0.99990064,0.99968827,0.999292,0.9999571,0.99971503,0.9997854,0.9996847,0.9968049,0.99958485,0.9972546,0.99924856,0.9705974,0.9975612,0.9996257
excel,0.99547523,0.99517375,0.9973098,0.9987192,0.9976922,0.9982911,0.9999708,0.9998024,1.0,0.9984261,0.99561673,0.9999846,0.0,0.99815905,0.9980087,0.9978704,0.99858236,0.99767166,0.9996514,0.9968576,0.992119,0.99800074,0.9998746,0.9998563,0.999915,1.0,0.9999878,0.99875146,0.9944165,0.9999684,0.99995613,0.9997,0.9926046,0.9977581,0.9991498,0.99978685,0.9990324,0.9999672,0.999798,0.99890804,0.9999601,0.99941796,0.9998547,0.99729073,0.9909639,0.99932,0.99992156,0.9999236,0.9999109,0.9993198,0.9999185,0.99997145,0.99959093,0.9997278,0.99989694,0.9998584,0.99965304,0.99966997,0.99856263,0.9979494,0.99939716,0.9992816,0.99870306,0.9975045,0.9994975,0.9998957,0.999969,0.9999533,0.9994561,0.9999385,0.9995877,0.9959503,0.99840546,0.99929124,0.99927294,0.99851465,0.9996496,0.99976486,0.9983959,0.9997458,0.9995032,0.9999569,0.9999531,0.99960667,0.99982584,0.99989295,0.99937105,0.9985945,0.99957716,0.99949116,0.9989093,0.9995666,0.999262,0.99986243,0.9962872,0.9997782,0.99968445,0.9998315,0.9992536,0.99995756
winforms,0.9968931,0.9977474,0.99793136,0.9973365,0.9991804,0.9984246,0.99880445,0.99641234,0.99910825,0.9995692,0.9977955,0.9996347,0.99815905,0.0,0.93882775,0.9966426,0.9967437,0.99836427,0.9997353,0.99891275,0.9440971,0.9895038,0.9981833,0.99907744,0.99901146,0.99935764,0.9992192,0.9982124,0.9989796,0.99958956,0.9999214,0.9981594,0.99860597,0.9999624,0.99723583,0.9979228,0.9901256,0.9992616,0.9845396,0.9889584,0.99929017,0.9903999,0.9849772,0.99995613,0.9674986,0.9992042,0.99952495,0.9947961,0.9994084,0.99669546,0.99787533,0.99958616,0.9989895,0.99939185,0.99808055,0.99526644,0.99430215,0.9933339,0.9889731,0.98417497,0.99353194,0.99429786,0.9993125,0.9983846,0.98807746,0.99810535,0.9986586,0.999176,0.99922127,0.99983,0.99914664,0.99905825,0.997833,0.9997426,0.9998413,0.9996548,0.9999596,0.99991745,0.99174994,0.99859756,0.99508935,0.99918187,0.9975624,0.99730086,0.99929935,0.9985971,0.99847466,0.99814767,0.9994672,0.9998022,0.99952257,0.9999153,0.99989706,0.9997791,0.9982133,0.99974954,0.99988526,0.9991151,0.99834406,0.9993015
datagridview,0.9984221,0.9983675,0.9981306,0.9953904,0.9992646,0.9992157,0.9990021,0.9978328,0.9995247,0.9996537,0.99892694,0.99993175,0.9980087,0.93882775,0.0,0.995194,0.9993621,0.9986753,1.0,0.99964267,0.9901402,0.9961875,1.0,0.9999003,0.9999011,1.0,0.99977636,1.0,1.0,1.0,1.0,1.0,0.9998644,0.9999876,0.9990629,0.9997502,0.9987317,0.9995867,0.983412,0.99669266,0.9993168,0.99874693,0.99810064,0.9999951,0.97813123,0.9999697,0.99992526,0.9995351,0.9999411,0.9967456,0.99814886,0.9997459,1.0,0.99985075,0.99988616,0.99802715,0.99824476,0.9969894,0.9976509,0.995541,0.9974153,0.9979582,0.9999343,0.99964535,0.99888265,0.999696,1.0,0.9999282,0.9997891,1.0,0.9990185,0.99962974,0.99824184,0.999898,0.9999827,0.9999775,0.9999816,0.99995166,0.99929845,0.9999395,0.9999415,0.99997646,0.99985325,0.9998637,0.99995184,0.9996715,0.9999461,0.9995608,0.99978083,1.0,0.99991363,0.99993867,1.0,0.99995524,0.99878305,1.0,0.9999759,0.9998134,0.9998893,0.99995077
gridview,0.99855316,0.99823546,0.99896944,0.9979366,0.99975896,0.9989586,0.999392,0.99851173,0.99964684,0.9996151,0.99891204,0.99995303,0.9978704,0.9966426,0.995194,0.0,0.9968174,0.9991135,0.9999727,0.99992543,0.99095386,0.9963514,0.999889,0.9999144,0.99992555,1.0,0.99981546,0.9999684,1.0,1.0,1.0,1.0,0.9999532,0.9998032,0.99971545,0.9998123,0.99624807,0.99545884,0.9864551,0.99775285,0.99898404,0.9991128,0.99724245,0.99952364,0.98878807,0.99998105,1.0,1.0,0.9999153,0.99676937,0.99741817,1.0,0.99987805,0.9999103,0.9999173,0.99863684,0.9990566,0.99851656,0.998276,0.99781144,0.998311,0.9989464,0.99995327,0.99979174,0.9997131,0.99960536,1.0,0.99995136,0.9992815,0.9997868,0.99948364,0.9997035,0.99903023,0.99938816,0.99905396,0.9995014,0.9989514,0.99852103,0.99972224,1.0,0.9999755,1.0,1.0,0.99993104,0.99997926,0.9998709,0.9999772,0.9991627,1.0,0.9998916,0.99901044,0.9996216,0.99952525,1.0,0.9606466,0.99993926,0.99997926,0.9998803,0.99962187,0.99992573
image,0.9990595,0.9991771,0.99615854,0.99992317,0.99786925,0.99962413,1.0,0.9998839,0.99998665,0.99966645,0.9981788,0.99996775,0.99858236,0.9967437,0.9993621,0.9968174,0.0,0.99986494,0.9996899,0.99976546,0.9944901,0.9993139,0.9997787,0.9997715,0.9998965,0.99998516,0.9999619,0.9997791,0.9999249,0.99991715,1.0,0.9997727,0.9999035,0.99142706,0.9992696,0.9998517,0.99159056,0.9966698,0.99918616,0.99875605,0.9996404,0.99708825,0.9995293,0.9937385,0.9968703,0.9974287,1.0,0.9997439,0.9998137,0.99986595,0.9998444,0.9999851,0.99858695,0.9991101,0.9997845,0.99988455,0.9998491,0.9998588,0.99935627,0.99899524,0.99970025,0.9995631,0.9992963,0.9989082,0.9992443,0.9989956,0.9999837,0.9999674,0.99718064,0.9970164,0.9999141,0.9974403,0.99864525,0.9986656,0.9931086,0.9835071,0.99241817,0.99745107,0.99874127,0.9999687,0.9993259,0.99880856,0.99973786,0.9995139,0.9998988,0.9999025,0.9997043,0.99681336,0.99995434,0.9994204,0.9984289,0.99885666,0.9991479,0.9997706,0.99599594,0.9998508,0.99935913,0.9995417,0.9987095,0.9998376
